decision_id,slot_id,action,tile_id,program,request_id,reason
D000402,N20260917-S035,observe,T00024,BACKUP,,reference feasible random policy
D000403,N20260917-S036,observe,T00021,BRIGHT,,reference feasible random policy
D000404,N20260917-S037,observe,T00014,BRIGHT,,reference feasible random policy
D000405,N20260917-S039,observe,T00022,BACKUP,,reference feasible random policy
D000406,N20260918-S001,observe,T00053,BRIGHT,,reference feasible random policy
D000407,N20260918-S001,observe,T00064,BRIGHT,,reference feasible random policy
D000408,N20260918-S002,observe,T00049,BRIGHT,,reference feasible random policy
D000409,N20260918-S003,observe,T00045,BRIGHT,,reference feasible random policy
D000410,N20260918-S004,observe,T00063,BACKUP,,reference feasible random policy
D000411,N20260918-S005,observe,T00064,BRIGHT,,reference feasible random policy
D000412,N20260918-S006,observe,T00043,BACKUP,,reference feasible random policy
D000413,N20260918-S007,observe,T00047,BRIGHT,,reference feasible random policy
D000414,N20260918-S008,observe,T00048,BRIGHT,,reference feasible random policy
D000415,N20260918-S009,observe,T00053,BRIGHT,,reference feasible random policy
D000416,N20260918-S009,observe,T00006,BRIGHT,,reference feasible random policy
D000417,N20260918-S011,observe,T00050,BRIGHT,,reference feasible random policy
D000418,N20260918-S012,observe,T00058,BRIGHT,,reference feasible random policy
D000419,N20260918-S013,observe,T00050,BRIGHT,,reference feasible random policy
D000420,N20260918-S014,observe,T00049,BRIGHT,,reference feasible random policy
D000421,N20260918-S015,observe,T00064,BRIGHT,,reference feasible random policy
D000422,N20260918-S016,observe,T00002,BRIGHT,,reference feasible random policy
D000423,N20260918-S017,observe,T00054,BACKUP,,reference feasible random policy
D000424,N20260918-S018,observe,T00060,BRIGHT,,reference feasible random policy
D000425,N20260918-S019,observe,T00004,BRIGHT,,reference feasible random policy
D000426,N20260918-S019,observe,T00003,BRIGHT,,reference feasible random policy
D000427,N20260918-S021,observe,T00059,BRIGHT,,reference feasible random policy
D000428,N20260918-S021,observe,T00049,BACKUP,,reference feasible random policy
D000429,N20260918-S023,observe,T00061,BRIGHT,,reference feasible random policy
D000430,N20260918-S024,observe,T00058,BRIGHT,,reference feasible random policy
D000431,N20260918-S025,observe,T00011,BRIGHT,,reference feasible random policy
D000432,N20260918-S027,observe,T00058,BRIGHT,,reference feasible random policy
D000433,N20260918-S028,observe,T00002,BRIGHT,,reference feasible random policy
D000434,N20260918-S028,observe,T00008,BRIGHT,,reference feasible random policy
D000435,N20260918-S030,observe,T00004,BRIGHT,,reference feasible random policy
D000436,N20260918-S030,observe,T00016,BRIGHT,,reference feasible random policy
D000437,N20260918-S032,observe,T00003,BRIGHT,,reference feasible random policy
D000438,N20260918-S033,observe,T00007,BRIGHT,,reference feasible random policy
D000439,N20260918-S034,observe,T00023,BACKUP,,reference feasible random policy
D000440,N20260918-S034,observe,T00013,BRIGHT,,reference feasible random policy
D000441,N20260918-S035,observe,T00006,BRIGHT,,reference feasible random policy
D000442,N20260918-S036,observe,T00021,BRIGHT,,reference feasible random policy
D000443,N20260918-S037,observe,T00007,BRIGHT,,reference feasible random policy
D000444,N20260918-S038,observe,T00022,BACKUP,,reference feasible random policy
D000445,N20260918-S039,observe,T00018,BACKUP,,reference feasible random policy
D000446,N20260919-S001,observe,T00058,BACKUP,,reference feasible random policy
D000447,N20260919-S002,observe,T00061,BRIGHT,,reference feasible random policy
D000448,N20260919-S003,observe,T00043,BRIGHT,,reference feasible random policy
D000449,N20260919-S004,observe,T00050,BRIGHT,,reference feasible random policy
D000450,N20260919-S005,observe,T00055,BRIGHT,,reference feasible random policy
D000451,N20260919-S007,observe,T00057,BRIGHT,,reference feasible random policy
D000452,N20260919-S007,observe,T00058,BRIGHT,,reference feasible random policy
D000453,N20260919-S008,observe,T00050,BRIGHT,,reference feasible random policy
D000454,N20260919-S009,observe,T00062,BRIGHT,,reference feasible random policy
D000455,N20260919-S010,observe,T00057,BRIGHT,,reference feasible random policy
D000456,N20260919-S011,observe,T00061,BRIGHT,,reference feasible random policy
D000457,N20260919-S012,observe,T00007,BACKUP,,reference feasible random policy
D000458,N20260919-S013,observe,T00056,BACKUP,,reference feasible random policy
D000459,N20260919-S014,observe,T00058,BRIGHT,,reference feasible random policy
D000460,N20260919-S015,observe,T00060,BRIGHT,,reference feasible random policy
D000461,N20260919-S016,observe,T00049,BRIGHT,,reference feasible random policy
D000462,N20260919-S017,observe,T00050,BRIGHT,,reference feasible random policy
D000463,N20260919-S018,observe,T00055,BRIGHT,,reference feasible random policy
D000464,N20260919-S020,observe,T00063,BRIGHT,,reference feasible random policy
D000465,N20260919-S021,observe,T00008,BRIGHT,,reference feasible random policy
D000466,N20260919-S022,wait,,,,no open uncompleted candidate
D000467,N20260919-S023,wait,,,,no open uncompleted candidate
D000468,N20260919-S024,observe,T00012,BACKUP,,reference feasible random policy
D000469,N20260919-S024,observe,T00006,BRIGHT,,reference feasible random policy
D000470,N20260919-S025,observe,T00061,BRIGHT,,reference feasible random policy
D000471,N20260919-S027,observe,T00058,BRIGHT,,reference feasible random policy
D000472,N20260919-S028,observe,T00011,BRIGHT,,reference feasible random policy
D000473,N20260919-S029,observe,T00061,BACKUP,,reference feasible random policy
D000474,N20260919-S031,observe,T00021,BACKUP,,reference feasible random policy
D000475,N20260919-S032,observe,T00008,BRIGHT,,reference feasible random policy
D000476,N20260919-S033,observe,T00016,BRIGHT,,reference feasible random policy
D000477,N20260919-S034,observe,T00023,BACKUP,,reference feasible random policy
D000478,N20260919-S035,observe,T00005,BRIGHT,,reference feasible random policy
D000479,N20260919-S036,observe,T00023,BRIGHT,,reference feasible random policy
D000480,N20260919-S037,observe,T00003,BRIGHT,,reference feasible random policy
D000481,N20260919-S039,observe,T00018,BACKUP,,reference feasible random policy
D000482,N20260920-S001,observe,T00042,BRIGHT,,reference feasible random policy
D000483,N20260920-S002,observe,T00060,BACKUP,,reference feasible random policy
D000484,N20260920-S003,observe,T00043,BRIGHT,,reference feasible random policy
D000485,N20260920-S004,observe,T00059,BRIGHT,,reference feasible random policy
D000486,N20260920-S004,observe,T00055,DARK,,reference feasible random policy
D000487,N20260920-S006,observe,T00057,BRIGHT,,reference feasible random policy
D000488,N20260920-S006,observe,T00059,BRIGHT,,reference feasible random policy
D000489,N20260920-S007,observe,T00008,BRIGHT,,reference feasible random policy
D000490,N20260920-S008,observe,T00056,BRIGHT,,reference feasible random policy
D000491,N20260920-S010,observe,T00004,BACKUP,,reference feasible random policy
D000492,N20260920-S011,observe,T00063,BRIGHT,,reference feasible random policy
D000493,N20260920-S012,observe,T00007,BACKUP,,reference feasible random policy
D000494,N20260920-S012,observe,T00004,BRIGHT,,reference feasible random policy
D000495,N20260920-S013,observe,T00058,BRIGHT,,reference feasible random policy
D000496,N20260920-S014,observe,T00056,BACKUP,,reference feasible random policy
D000497,N20260920-S015,observe,T00055,BRIGHT,,reference feasible random policy
D000498,N20260920-S017,observe,T00057,DARK,,reference feasible random policy
D000499,N20260920-S017,observe,T00011,BACKUP,,reference feasible random policy
D000500,N20260920-S019,observe,T00010,BRIGHT,,reference feasible random policy
D000501,N20260920-S020,observe,T00059,BRIGHT,,reference feasible random policy
D000502,N20260920-S021,observe,T00059,BRIGHT,,reference feasible random policy
D000503,N20260920-S021,observe,T00006,DARK,,reference feasible random policy
D000504,N20260920-S023,observe,T00015,BRIGHT,,reference feasible random policy
D000505,N20260920-S024,wait,,,,no open uncompleted candidate
D000506,N20260920-S025,observe,T00057,BRIGHT,,reference feasible random policy
D000507,N20260920-S025,observe,T00059,BRIGHT,,reference feasible random policy
D000508,N20260920-S026,observe,T00060,BRIGHT,,reference feasible random policy
D000509,N20260920-S026,observe,T00014,BACKUP,,reference feasible random policy
D000510,N20260920-S028,observe,T00005,BRIGHT,,reference feasible random policy
D000511,N20260920-S029,observe,T00008,BRIGHT,,reference feasible random policy
D000512,N20260920-S031,observe,T00016,BRIGHT,,reference feasible random policy
D000513,N20260920-S032,observe,T00058,BRIGHT,,reference feasible random policy
D000514,N20260920-S033,observe,T00002,BRIGHT,,reference feasible random policy
D000515,N20260920-S034,observe,T00011,DARK,,reference feasible random policy
D000516,N20260920-S035,observe,T00006,BRIGHT,,reference feasible random policy
D000517,N20260920-S036,observe,T00003,BRIGHT,,reference feasible random policy
D000518,N20260920-S038,observe,T00004,BRIGHT,,reference feasible random policy
D000519,N20260920-S038,observe,T00010,BRIGHT,,reference feasible random policy
D000520,N20260921-S001,observe,T00047,BRIGHT,,reference feasible random policy
D000521,N20260921-S002,observe,T00051,BRIGHT,,reference feasible random policy
D000522,N20260921-S003,observe,T00003,BACKUP,,reference feasible random policy
D000523,N20260921-S004,observe,T00052,BRIGHT,,reference feasible random policy
D000524,N20260921-S006,observe,T00052,BRIGHT,,reference feasible random policy
D000525,N20260921-S007,observe,T00001,BACKUP,,reference feasible random policy
D000526,N20260921-S009,observe,T00045,BACKUP,,reference feasible random policy
D000527,N20260921-S009,observe,T00060,BRIGHT,,reference feasible random policy
D000528,N20260921-S010,observe,T00058,BRIGHT,,reference feasible random policy
D000529,N20260921-S011,observe,T00004,BRIGHT,,reference feasible random policy
D000530,N20260921-S011,observe,T00056,BRIGHT,,reference feasible random policy
D000531,N20260921-S013,observe,T00061,DARK,,reference feasible random policy
D000532,N20260921-S014,observe,T00004,BRIGHT,,reference feasible random policy
D000533,N20260921-S015,observe,T00060,BRIGHT,,reference feasible random policy
D000534,N20260921-S016,observe,T00063,BRIGHT,,reference feasible random policy
D000535,N20260921-S017,observe,T00010,BRIGHT,,reference feasible random policy
D000536,N20260921-S018,observe,T00007,BRIGHT,,reference feasible random policy
D000537,N20260921-S019,observe,T00061,BRIGHT,,reference feasible random policy
D000538,N20260921-S020,observe,T00058,BRIGHT,,reference feasible random policy
D000539,N20260921-S021,observe,T00001,BRIGHT,,reference feasible random policy
D000540,N20260921-S023,observe,T00050,BRIGHT,,reference feasible random policy
D000541,N20260921-S024,observe,T00064,BRIGHT,,reference feasible random policy
D000542,N20260921-S025,observe,T00050,BACKUP,,reference feasible random policy
D000543,N20260921-S026,observe,T00059,BRIGHT,,reference feasible random policy
D000544,N20260921-S026,observe,T00062,BRIGHT,,reference feasible random policy
D000545,N20260921-S027,observe,T00006,BRIGHT,,reference feasible random policy
D000546,N20260921-S029,observe,T00059,BACKUP,,reference feasible random policy
D000547,N20260921-S029,observe,T00007,BRIGHT,,reference feasible random policy
D000548,N20260921-S030,observe,T00062,BACKUP,,reference feasible random policy
D000549,N20260921-S031,observe,T00058,BRIGHT,,reference feasible random policy
D000550,N20260921-S032,observe,T00060,BACKUP,,reference feasible random policy
D000551,N20260921-S033,observe,T00007,BRIGHT,,reference feasible random policy
D000552,N20260921-S033,observe,T00020,BRIGHT,,reference feasible random policy
D000553,N20260921-S034,observe,T00007,BRIGHT,,reference feasible random policy
D000554,N20260921-S035,observe,T00021,BRIGHT,,reference feasible random policy
D000555,N20260921-S036,observe,T00058,BRIGHT,,reference feasible random policy
D000556,N20260921-S037,observe,T00024,BRIGHT,,reference feasible random policy
D000557,N20260921-S038,observe,T00007,BRIGHT,,reference feasible random policy
D000558,N20260921-S039,observe,T00011,DARK,,reference feasible random policy
D000559,N20260922-S001,observe,T00055,BRIGHT,,reference feasible random policy
D000560,N20260922-S002,observe,T00047,BRIGHT,,reference feasible random policy
D000561,N20260922-S003,observe,T00054,BRIGHT,,reference feasible random policy
D000562,N20260922-S004,observe,T00063,BACKUP,,reference feasible random policy
D000563,N20260922-S005,observe,T00051,BACKUP,,reference feasible random policy
D000564,N20260922-S007,observe,T00045,BACKUP,,reference feasible random policy
D000565,N20260922-S007,observe,T00045,BACKUP,,reference feasible random policy
D000566,N20260922-S008,observe,T00045,BACKUP,,reference feasible random policy
D000567,N20260922-S008,observe,T00006,BACKUP,,reference feasible random policy
D000568,N20260922-S010,observe,T00005,BACKUP,,reference feasible random policy
D000569,N20260922-S011,observe,T00008,BACKUP,,reference feasible random policy
D000570,N20260922-S012,observe,T00005,BACKUP,,reference feasible random policy
D000571,N20260922-S014,observe,T00003,BRIGHT,,reference feasible random policy
D000572,N20260922-S015,observe,T00010,BACKUP,,reference feasible random policy
D000573,N20260922-S017,observe,T00055,BACKUP,,reference feasible random policy
D000574,N20260922-S018,observe,T00004,BRIGHT,,reference feasible random policy
D000575,N20260922-S019,observe,T00058,BRIGHT,,reference feasible random policy
D000576,N20260922-S020,observe,T00059,BACKUP,,reference feasible random policy
D000577,N20260922-S020,observe,T00062,BACKUP,,reference feasible random policy
D000578,N20260922-S021,observe,T00005,BRIGHT,,reference feasible random policy
D000579,N20260922-S023,observe,T00007,BRIGHT,,reference feasible random policy
D000580,N20260922-S023,observe,T00050,BACKUP,,reference feasible random policy
D000581,N20260922-S024,observe,T00064,BACKUP,,reference feasible random policy
D000582,N20260922-S025,observe,T00001,BACKUP,,reference feasible random policy
D000583,N20260922-S027,observe,T00004,BRIGHT,,reference feasible random policy
D000584,N20260922-S028,observe,T00007,BACKUP,,reference feasible random policy
D000585,N20260922-S028,observe,T00061,BACKUP,,reference feasible random policy
D000586,N20260922-S030,observe,T00063,BACKUP,,reference feasible random policy
D000587,N20260922-S031,wait,,,,no open uncompleted candidate
D000588,N20260922-S032,observe,T00013,BACKUP,,reference feasible random policy
D000589,N20260922-S032,observe,T00013,BACKUP,,reference feasible random policy
D000590,N20260922-S033,observe,T00004,BRIGHT,,reference feasible random policy
D000591,N20260922-S033,observe,T00062,BACKUP,,reference feasible random policy
D000592,N20260922-S034,observe,T00020,BACKUP,,reference feasible random policy
D000593,N20260922-S035,observe,T00013,BACKUP,,reference feasible random policy
D000594,N20260922-S036,observe,T00021,BACKUP,,reference feasible random policy
D000595,N20260922-S037,observe,T00010,BRIGHT,,reference feasible random policy
D000596,N20260922-S038,observe,T00005,BACKUP,,reference feasible random policy
D000597,N20260922-S039,observe,T00021,BRIGHT,,reference feasible random policy
D000598,N20260923-S001,observe,T00046,BACKUP,RQ0002,reference feasible random policy
D000599,N20260923-S001,observe,T00042,BACKUP,,reference feasible random policy
D000600,N20260923-S002,observe,T00043,BACKUP,,reference feasible random policy
D000601,N20260923-S003,wait,,,,no open uncompleted candidate
D000602,N20260923-S004,wait,,,,no open uncompleted candidate
D000603,N20260923-S005,wait,,,,no open uncompleted candidate
D000604,N20260923-S006,observe,T00060,BACKUP,,reference feasible random policy
D000605,N20260923-S006,observe,T00061,BRIGHT,,reference feasible random policy
D000606,N20260923-S008,observe,T00058,BACKUP,,reference feasible random policy
D000607,N20260923-S009,observe,T00060,BACKUP,,reference feasible random policy
D000608,N20260923-S009,observe,T00055,BRIGHT,,reference feasible random policy
D000609,N20260923-S011,observe,T00005,BACKUP,,reference feasible random policy
D000610,N20260923-S012,observe,T00007,BACKUP,,reference feasible random policy
D000611,N20260923-S013,observe,T00006,BRIGHT,,reference feasible random policy
D000612,N20260923-S014,observe,T00004,BRIGHT,,reference feasible random policy
D000613,N20260923-S015,observe,T00007,BRIGHT,,reference feasible random policy
D000614,N20260923-S016,observe,T00006,BRIGHT,,reference feasible random policy
D000615,N20260923-S017,observe,T00006,BRIGHT,,reference feasible random policy
D000616,N20260923-S018,observe,T00011,BACKUP,,reference feasible random policy
D000617,N20260923-S020,observe,T00004,BRIGHT,,reference feasible random policy
D000618,N20260923-S020,observe,T00063,BACKUP,,reference feasible random policy
D000619,N20260923-S021,observe,T00002,BRIGHT,,reference feasible random policy
D000620,N20260923-S022,observe,T00005,BRIGHT,,reference feasible random policy
D000621,N20260923-S023,observe,T00058,BRIGHT,,reference feasible random policy
D000622,N20260923-S024,observe,T00003,BRIGHT,,reference feasible random policy
D000623,N20260923-S026,observe,T00004,BRIGHT,,reference feasible random policy
D000624,N20260923-S026,observe,T00012,BRIGHT,,reference feasible random policy
D000625,N20260923-S027,observe,T00015,BRIGHT,,reference feasible random policy
D000626,N20260923-S028,observe,T00016,BRIGHT,,reference feasible random policy
D000627,N20260923-S030,observe,T00015,BRIGHT,,reference feasible random policy
D000628,N20260923-S031,observe,T00021,BRIGHT,,reference feasible random policy
D000629,N20260923-S032,observe,T00013,BRIGHT,,reference feasible random policy
D000630,N20260923-S033,observe,T00015,BRIGHT,,reference feasible random policy
D000631,N20260923-S034,observe,T00007,BRIGHT,,reference feasible random policy
D000632,N20260923-S035,observe,T00024,BRIGHT,,reference feasible random policy
D000633,N20260923-S036,observe,T00014,BRIGHT,,reference feasible random policy
D000634,N20260923-S038,observe,T00003,BRIGHT,,reference feasible random policy
D000635,N20260923-S039,observe,T00030,BACKUP,,reference feasible random policy
D000636,N20260923-S040,observe,T00004,BRIGHT,,reference feasible random policy
D000637,N20260923-S040,observe,T00011,DARK,,reference feasible random policy
D000638,N20260924-S001,observe,T00048,BACKUP,,reference feasible random policy
